ward_code,ward_name,2007,2010,2015,2019,pct_change_2007_2019,rank_2007,rank_2010,rank_2015,rank_2019,predicted_rank_2024,predicted_rank_2024_int,r1,r2,r3,mean_annual_rate,imd_est_2024,rank_est_2024
E05009288,Aldersgate,0.0012006512435795,0.0010145768763458,0.0010217780563158,0.0008068922528812,-32.795451035755505,682.0,682.0,682.0,682.0,682.0,682.0,-0.05458455068713375,0.0014155303551048881,-0.05731902234134023,-0.036829347557789695,0.000668854652181526,682.0
E05009302,Cripplegate,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,683.0
E05009305,Farringdon Without,0.5538313644096907,0.5016779597881071,0.4941508070390434,0.3876530403079541,-30.0052208633688,679.0,679.0,680.0,680.0,679.6,680.0,-0.032429783505264154,-0.003018964027484916,-0.05887800952602351,-0.031442252352924194,0.3304233969984797,680.0
E05009308,Portsoken,0.0030793482511616,0.0029534146001837,0.0016962006054806,0.0013647042845125,-55.68204135411671,681.0,681.0,681.0,681.0,681.0,681.0,-0.013822241744300023,-0.10498449436976065,-0.05291199710586014,-0.0572395777399736,0.0010163546214346252,681.0
E05009312,Walbrook,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,683.0
E05009317,Bethnal Green East,56.099181443766895,49.56050408391272,56.89145008875508,45.69836935527628,-18.54004251187918,57.0,68.0,61.0,52.0,58.0,41.0,-0.04046740935895765,0.027974301292170267,-0.05329771575980413,-0.021930274608863837,40.90249352601297,67.0
E05009318,Blackwall & Cubitt Town,17.0991897866845,16.906953826673522,19.91966684097557,16.263746740002887,-4.885863348520711,472.0,464.0,398.0,436.0,441.20000000000005,455.0,-0.003761599113330516,0.03334023741149572,-0.049428841614184815,-0.006616734438673204,15.732755775058731,419.0
E05009319,Bow East,43.34859000692664,36.57431793702296,34.07217871607744,27.033958953925403,-37.63589784672197,97.0,140.0,164.0,194.0,157.8,141.0,-0.05506829710660999,-0.014073059625241746,-0.056205512801796975,-0.04178228984454957,21.83889282785614,263.0
E05009320,Bow West,47.279684577508526,42.51567173582245,37.545789462872406,30.93450417666354,-34.57125517419499,80.0,97.0,122.0,141.0,116.20000000000002,96.0,-0.03478330553895703,-0.02455578132858205,-0.047268598113575644,-0.03553589499370491,25.81508170801363,197.0
E05009321,Bromley North,29.08151293662117,25.37687920655396,40.41125269109205,31.675223806064288,8.918761809592661,237.0,289.0,105.0,131.0,178.60000000000002,162.0,-0.044405286175343894,0.09752095285458218,-0.059076436365548046,-0.0019869232287699212,31.36179062884217,122.0
E05009322,Bromley South,30.768817194055742,26.608809721165724,38.36788626890182,27.04057566504628,-12.116947835517475,215.0,263.0,117.0,193.0,196.2,180.0,-0.04726625288646291,0.07594106961990277,-0.08375416232236965,-0.0183597818629766,24.647770947913124,218.0
E05009323,Canary Wharf,18.76720408570325,16.610021044490598,25.17680389417449,18.85221546424568,0.4529783880124328,431.0,473.0,293.0,362.0,384.20000000000005,394.0,-0.03988437985366022,0.08674107677365295,-0.06976976875505914,-0.007637690611688804,18.143192156447082,344.0
E05009324,Island Gardens,10.004465886457602,9.341657353735052,10.758919597750912,8.76736163676046,-12.36552019605294,597.0,606.0,597.0,625.0,610.0,619.0,-0.022590231211191525,0.028653115272313956,-0.049887428182900706,-0.014608181373926091,8.145423730066742,619.0
E05009325,Lansbury,56.90523738603465,53.61251138532204,51.57038183065712,38.56134654353968,-32.235856812358755,56.0,59.0,70.0,75.0,67.0,49.0,-0.019672232607802043,-0.007736904883188567,-0.07009633160691242,-0.032501823032634346,32.68910029774702,103.0
E05009326,Limehouse,20.044357559161018,17.40128886128012,23.046196476404635,19.731803816473096,-1.559310353377091,404.0,448.0,330.0,334.0,370.0,377.0,-0.04604089299659775,0.057800014754982865,-0.03807351558145067,-0.008771464607688517,18.88146851439572,330.0
E05009327,Mile End,52.5277937108237,46.497669532519176,41.77085010339131,29.35541656647301,-44.11450683026854,64.0,75.0,101.0,163.0,113.2,93.0,-0.03983174724481231,-0.021212474996386232,-0.08440432313985802,-0.04848284846035219,22.896618753524656,243.0
E05009328,Poplar,22.40462081452702,20.654834335444807,44.819645057661496,34.008215918926474,51.79108006539326,363.0,379.0,88.0,104.0,207.6,194.0,-0.02674187210000123,0.16758723792284935,-0.0666836818805332,0.024720561314104977,38.42475455122772,75.0
E05009329,St Dunstan's,8.937207939210028,7.884983525417292,41.10728740425601,35.56811875597619,297.9779702778193,617.0,630.0,103.0,85.0,304.0,304.0,-0.040894659574280956,0.39130903638561687,-0.035537116208250064,0.10495908686769528,58.58573519159602,41.0
E05009330,St Katharine's & Wapping,10.002835780586782,8.572246218441949,14.982794583365497,12.872712856824648,28.69063472788028,598.0,621.0,499.0,523.0,552.8000000000001,561.0,-0.050145322075389354,0.11814889186134492,-0.037237171573348826,0.010255466070868913,13.546469589142351,476.0
E05009331,Bethnal Green West,58.14134980952313,49.97080910584704,308.2759620189664,249.6309446402986,329.35182182407965,54.0,67.0,8.0,6.0,28.200000000000003,21.0,-0.04922645210947252,0.4389465294285724,-0.05138565101546333,0.11277814210121218,425.93306164860905,7.0
E05009332,Shadwell,31.140505705160788,26.68760762677657,37.90772863063431,30.28662813281076,-2.742015754126048,212.0,261.0,120.0,151.0,179.0,163.0,-0.05013621991810602,0.07271319772627449,-0.05456692722642331,-0.010663316472751613,28.705921171662073,150.0
E05009333,Spitalfields & Banglatown,66.02991639627368,62.47154401123776,45.31650266588659,36.40917584754965,-44.85957603059398,45.0,47.0,86.0,79.0,67.19999999999999,50.0,-0.01829614255395806,-0.06219006530704452,-0.05324280183458452,-0.0445763365651957,28.986168716169843,144.0
E05009334,Stepney Green,9.372106481514304,8.95105056768771,42.61535970086065,32.06030983714896,242.08221919357447,612.0,614.0,98.0,124.0,314.40000000000003,316.0,-0.015205535429250072,0.36627596851766087,-0.06867686980756926,0.09413118776028051,50.270673431587596,51.0
E05009335,Weavers,37.218714356693496,34.21196123404715,33.6653183060516,27.28429532445788,-26.69199945228359,145.0,170.0,168.0,187.0,171.39999999999998,153.0,-0.02768824863883146,-0.0032162466724259264,-0.051182897791742565,-0.02736246436766665,23.7502327504523,229.0
E05009336,Whitechapel,31.91164393650872,30.501853331751303,27.68379447497376,21.752496770627904,-31.835236022604825,207.0,210.0,246.0,296.0,251.00000000000003,253.0,-0.01494831789412887,-0.019201308926539595,-0.05849880816613462,-0.030882811662267695,18.59476073201038,337.0
E05009367,Brownswood,24.327585656730523,22.32318988467441,27.30257398066883,25.968725785731102,6.746004935128191,310.0,339.0,254.0,205.0,262.6,268.0,-0.028254777001271214,0.04109285953145947,-0.012443931690765075,0.00013138361314105987,25.98578959406363,192.0
E05009368,Cazenove,40.09170868543874,36.248637497508255,26.47965654853008,25.089798766217505,-37.41898365302128,123.0,141.0,264.0,232.0,198.40000000000003,184.0,-0.0330313954271777,-0.0608734207832744,-0.013388422221626062,-0.035764412810692724,20.91283727256877,276.0
E05009369,Clissold,42.503229836009744,37.51548830647633,25.38119445906049,24.09350261599761,-43.31371354845832,107.0,133.0,288.0,247.0,204.4,188.0,-0.04075497222958979,-0.0751734467073445,-0.012932230953608737,-0.04295354996351434,19.344834738886032,318.0
