,precision,recall,f1-score,support
0,0.9986320109439124,0.9972677595628415,0.9979494190020506,732.0
1,0.9968404423380727,0.9984177215189873,0.9976284584980237,632.0
accuracy,0.9978005865102639,0.9978005865102639,0.9978005865102639,0.9978005865102639
macro avg,0.9977362266409926,0.9978427405409145,0.9977889387500372,1364.0
weighted avg,0.9978018999769837,0.9978005865102639,0.9978007041644076,1364.0
