Metric,Value,Dataset
RMSE,2.707216860926015,Training
MAE,1.6805800143911274,Training
R² Score,0.7146163227037392,Training
RMSE,2.8152773262188435,Test
MAE,1.7640452884324997,Test
R² Score,0.6571362252011541,Test
